1	1	185	1	185
2	1548	1705	186	343
3	2843	2906	344	407
4	3102	3184	408	490
5	4301	4371	491	561
7	8452	8508	562	618
9	9137	9140	619	622
12	11799	11801	623	625
13	12345	12359	626	640
14	14319	14383	641	705
15	15641	15862	706	927
16	16343	23777	928	8362
17	24015	24244	8363	8592
18	25532	25731	8593	8792
19	26200	27603	8793	10196
20	28675	28690	10197	10212
21	29072	29083	10213	10224
24	29949	30245	10225	10521
25	30378	30519	10522	10663
26	30712	30733	10664	10685
27	30938	31091	10686	10839
28	31260	31863	10840	11443
29	32044	32638	11444	12038
30	33083	33083	12039	12039
31	33600	33711	12040	12151
32	34975	35046	12152	12223
33	35545	36496	12224	13175
34	37466	39118	13176	14828
35	41753	41836	14829	14912
36	42275	42548	14913	15186
37	43560	43707	15187	15334
40	46634	46638	15335	15339
41	46873	47410	15340	15877
42	47642	47643	15878	15879
43	47770	48355	15880	16465
44	50510	50521	16466	16477
45	51872	52040	16478	16646
46	52749	52804	16647	16702
47	56531	56622	16703	16794
48	58066	58101	16795	16830
50	59667	59749	16831	16913
51	60260	60283	16914	16937
52	61832	61952	16938	17058
53	63216	63584	17059	17427
55	65167	65188	17428	17449
56	67577	67748	17450	17621
57	69048	69101	17622	17675
58	73041	73354	17676	17989
59	74099	74418	17990	18309
61	76680	76706	18310	18336
63	78415	78486	18337	18408
64	78826	79077	18409	18660
65	80245	80359	18661	18775
66	81398	81604	18776	18982
67	82460	82643	18983	19166
68	82854	82894	19167	19207
69	83258	83310	19208	19260
70	83608	83827	19261	19480
71	84593	84847	19481	19735
72	85034	85201	19736	19903
73	86582	86594	19904	19916
74	87261	87394	19917	20050
75	87554	90408	20051	22905
77	92157	92350	22906	23099
78	92963	94376	23100	24513
79	95307	95319	24514	24526
80	96244	96452	24527	24735
81	97929	98199	24736	25006
82	99187	99459	25007	25279
83	100321	100391	25280	25350
84	101457	101517	25351	25411
87	103329	104689	25412	26772
88	105848	105888	26773	26813
89	107740	107778	26814	26852
90	109036	109186	26853	27003
91	109394	109509	27004	27119
92	110143	110163	27120	27140
93	111037	111044	27141	27148
94	111717	111957	27149	27389
95	112546	113348	27390	28192
96	113637	113687	28193	28243
98	116435	116640	28244	28449
99	117448	119109	28450	30111
100	120367	121030	30112	30775
101	121760	122893	30776	31909
102	123134	126258	31910	35034
103	127381	127520	35035	35174
104	127977	127985	35175	35183
105	129900	130277	35184	35561
106	131958	131958	35562	35562
107	132193	133009	35563	36379
108	133163	133163	36380	36380
109	133350	133526	36381	36557
112	135645	136060	36558	36973
113	136991	139458	36974	39441
114	140413	140421	39442	39450
115	142039	142826	39451	40238
116	143577	143588	40239	40250
117	144762	145156	40251	40645
118	146021	146305	40646	40930
119	146507	146572	40931	40996
120	147239	147309	40997	41067
121	148537	148988	41068	41519
123	149845	150061	41520	41736
124	150893	151045	41737	41889
125	151901	151999	41890	41988
127	154428	154428	41989	41989
128	155122	155150	41990	42018
129	155721	155854	42019	42152
130	156470	156518	42153	42201
131	158118	158128	42202	42212
132	159416	159475	42213	42272
133	160010	160086	42273	42349
134	160558	160849	42350	42641
135	162113	162421	42642	42950
137	163318	163672	42951	43305
138	165623	165946	43306	43629
140	167621	167639	43630	43648
142	169361	169764	43649	44052
143	170359	170367	44053	44061
145	171606	171741	44062	44197
146	172774	173027	44198	44451
147	173712	173722	44452	44462
148	174668	174798	44463	44593
150	178685	178815	44594	44724
151	179215	179279	44725	44789
152	179850	179935	44790	44875
153	180203	180214	44876	44887
154	180626	180640	44888	44902
155	180947	181203	44903	45159
156	182455	182537	45160	45242
157	182994	183138	45243	45387
158	184672	184928	45388	45644
159	186468	186586	45645	45763
160	188795	188805	45764	45774
161	188947	188989	45775	45817
164	190694	190959	45818	46083
165	191269	191483	46084	46298
166	192111	192134	46299	46322
168	193055	193071	46323	46339
169	193906	194008	46340	46442
170	194291	194301	46443	46453
171	194647	194658	46454	46465
172	195313	195315	46466	46468
173	195730	195738	46469	46477
174	195946	195969	46478	46501
175	196231	196255	46502	46526
176	196625	196701	46527	46603
177	197008	197030	46604	46626
178	197574	197590	46627	46643
179	197861	198144	46644	46927
180	198544	198734	46928	47118
181	199272	199354	47119	47201
182	199712	199728	47202	47218
183	200224	200236	47219	47231
184	200420	200563	47232	47375
185	201005	201016	47376	47387
186	202328	202477	47388	47537
187	203117	203232	47538	47653
188	203452	203609	47654	47811
189	203976	203992	47812	47828
190	204377	204418	47829	47870
191	205355	205365	47871	47881
192	205753	206016	47882	48145
193	206284	206292	48146	48154
194	207631	207873	48155	48397
195	208567	208668	48398	48499
197	209652	209677	48500	48525
199	211386	212735	48526	49875
200	212934	213007	49876	49949
201	213785	213905	49950	50070
202	214653	214664	50071	50082
203	215646	215839	50083	50276
204	216161	216205	50277	50321
205	216515	216530	50322	50337
206	217830	217979	50338	50487
207	220419	220436	50488	50505
208	221106	221122	50506	50522
209	222212	222665	50523	50976
210	225168	225360	50977	51169
211	226057	226067	51170	51180
212	226485	227551	51181	52247
214	229077	229306	52248	52477
215	230066	230073	52478	52485
216	230878	230898	52486	52506
217	232159	232170	52507	52518
218	234025	234123	52519	52617
219	235504	235694	52618	52808
220	237504	237621	52809	52926
221	238672	238770	52927	53025
222	242569	242984	53026	53441
223	243399	243417	53442	53460
224	243889	244282	53461	53854
225	246365	246467	53855	53957
226	250860	250901	53958	53999
227	252159	252384	54000	54225
228	252649	252938	54226	54515
229	253092	253112	54516	54536
230	254355	254363	54537	54545
231	254595	254862	54546	54813
232	255586	255801	54814	55029
233	257137	257191	55030	55084
234	258104	258126	55085	55107
235	258931	258957	55108	55134
236	259948	260179	55135	55366
237	261200	261537	55367	55704
238	262351	262539	55705	55893
239	263959	264010	55894	55945
240	264719	264807	55946	56034
241	265786	265786	56035	56035
243	267645	267802	56036	56193
244	268616	268659	56194	56237
245	268978	269333	56238	56593
246	269781	269798	56594	56611
247	270192	271597	56612	58017
248	273812	274032	58018	58238
249	274510	274731	58239	58460
250	277936	279078	58461	59603
251	279709	279717	59604	59612
252	280720	280749	59613	59642
253	281392	281409	59643	59660
254	282226	282496	59661	59931
255	282932	282942	59932	59942
256	284134	284143	59943	59952
257	284636	284649	59953	59966
259	286235	286260	59967	59992
260	286528	286548	59993	60013
261	288451	288509	60014	60072
262	289512	289620	60073	60181
263	289957	289966	60182	60191
264	290210	290224	60192	60206
265	290420	290584	60207	60371
266	291536	291546	60372	60382
267	291865	291867	60383	60385
268	294121	294121	60386	60386
269	295103	295710	60387	60994
270	297817	298251	60995	61429
271	298603	298668	61430	61495
272	299152	299245	61496	61589
273	300731	300882	61590	61741
274	302491	303558	61742	62809
275	305005	305005	62810	62810
276	305738	305745	62811	62818
277	306439	306447	62819	62827
278	307138	307151	62828	62841
279	308520	308549	62842	62871
280	309729	310027	62872	63170
281	311222	311224	63171	63173
282	312197	312202	63174	63179
283	313436	313436	63180	63180
284	314823	314829	63181	63187
285	315979	316013	63188	63222
286	317043	317057	63223	63237
287	317763	317776	63238	63251
288	318611	318769	63252	63410
290	320234	320245	63411	63422
291	321296	321360	63423	63487
